year,constituencyNumber,district,constituency,latitude,longitude,winner,second,winnerVotes,secondVotes,margin,difference,magnitude
2008,158,Netrokona,NETRAKONA-2,24.91384,90.864973,AL,4P,164076,79572,84504,34.05,13
2008,159,Netrokona,NETRAKONA-3,24.679466,90.829267,MOHAJOTE,4P,132557,86948,45609,20.57,2
2008,160,Netrokona,NETRAKONA-4,24.730617,91.055861,MOHAJOTE,Others,108725,91994,16731,8.19,0
2008,161,Netrokona,NETRAKONA-5,24.954935,90.594435,MOHAJOTE,4P,108860,28675,80185,51.47,5
2008,12,Nilphamari,NILPHAMARI-1,26.189948,88.862114,MOHAJOTE,4P,179657,67190,112467,43.39,4
2008,13,Nilphamari,NILPHAMARI-2,25.977799,88.846035,MOHAJOTE,4P,135626,82324,53302,24.13,2
2008,14,Nilphamari,NILPHAMARI-3,26.091322,88.999844,MOHAJOTE,4P,145688,66849,78839,36.76,3
2008,15,Nilphamari,NILPHAMARI-4,26.000019,88.928432,AL,4P,87319,61087,26232,12.65,11
2008,268,Noakhali,NOAKHALI-1,23.031715,91.015835,4P,AL,105380,80658,24722,12.82,21
2008,269,Noakhali,NOAKHALI-2,23.00138,91.175137,4P,MOHAJOTE,87463,67497,19966,12.7,21
2008,270,Noakhali,NOAKHALI-3,22.943218,91.098232,Others,4P,123571,98537,25034,11.03,41
2008,271,Noakhali,NOAKHALI-4,22.783779,91.05978,MOHAJOTE,4P,131706,118956,12750,4.44,0
2008,272,Noakhali,NOAKHALI-5,22.804035,91.197109,MOHAJOTE,4P,112575,111204,1371,0.61,0
2008,273,Noakhali,NOAKHALI-6,22.250971,91.131191,Others,4P,141755,680,141075,98.97,49
2008,68,Pabna,Pabna-1,24.072798,89.594679,MOHAJOTE,4P,145012,122944,22068,8.15,0
2008,69,Pabna,Pabna-2,23.914715,89.516401,MOHAJOTE,4P,116730,95000,21730,10.2,1
2008,70,Pabna,Pabna-3,24.293285,89.351606,MOHAJOTE,4P,178974,115190,63784,21.6,2
2008,71,Pabna,Pabna-4,24.117928,89.144239,MOHAJOTE,4P,147334,104901,42433,16.56,1
