year,constituencyNumber,district,constituency,latitude,longitude,winner,runnerUp,winnerVotes,runnerUpVotes,marginVotes,marginPercentage,magnitude
2001,205,Narayanganj,Narayanganj4,23.619362,90.480452,4P,AL,137323,106104,31219,12.19,21
2001,206,Narayanganj,Narayanganj5,23.608037,90.524397,4P,AL,73013,62232,10781,6.35,20
2001,207,Rajbari,Rajbari1,23.711181,89.664717,4P,AL,95266,85057,10209,5.17,20
2001,208,Rajbari,Rajbari2,23.748897,89.471083,4P,AL,148765,127538,21227,7.42,20
2001,209,Faridpur,Faridpur1,23.407806,89.683943,AL,4P,126858,119912,6946,2.79,10
2001,210,Faridpur,Faridpur2,23.410327,89.852858,4P,AL,86450,74474,11976,7.38,20
2001,211,Faridpur,Faridpur3,23.596711,89.859724,4P,AL,114618,69544,45074,24.11,22
2001,212,Faridpur,Faridpur4,23.562728,89.9998,AL,Others,56231,52763,3468,3.07,10
2001,213,Faridpur,Faridpur5,23.417888,90.031385,Others,AL,64297,51662,12635,10.58,41
2001,214,Gopalganj,Gopalganj1,23.246393,89.869337,AL,4P,145391,20136,125255,67.64,16
2001,215,Gopalganj,Gopalganj2,23.093628,89.817152,AL,4P,185821,8164,177657,89.96,18
2001,216,Gopalganj,Gopalganj3,23.016548,90.005293,AL,4P,154130,7223,146907,90.30,19
2001,217,Madaripur,Madaripur1,23.330907,90.170088,AL,4P,98898,47831,51067,34.57,13
2001,218,Madaripur,Madaripur2,23.209796,90.124769,AL,4P,139096,46234,92862,49.34,14
2001,219,Madaripur,Madaripur3,23.104997,90.266218,AL,Others,110993,37508,73485,42.74,14
2001,220,Shariatpur,Shariatpur1,23.344778,90.297804,Others,AL,99076,81930,17146,9.42,40
2001,221,Shariatpur,Shariatpur2,23.228727,90.506544,AL,Others,48578,33287,15291,15.15,11
2001,222,Shariatpur,Shariatpur3,23.134046,90.443373,AL,4P,125550,95961,29589,13.27,11
2001,223,Sunamganj,Sunamganj1,25.040816,91.120205,4P,AL,128448,95574,32874,14.57,21
2001,224,Sunamganj,Sunamgonj2,24.779254,91.320705,AL,4P,82839,66558,16281,10.81,11
2001,225,Sunamganj,Sunamgonj3,24.791722,91.554165,AL,4P,69421,63475,5946,3.92,10
2001,226,Sunamganj,Sunamgonj4,25.065697,91.394863,4P,AL,61807,51864,9943,6.91,20
2001,227,Sunamganj,Sunamganj5,25.010951,91.600857,4P,AL,113660,83500,30160,14.48,21
2001,228,Sylhet,Sylhet1,24.893911,91.845303,4P,AL,133827,95089,38738,15.48,21
2001,229,Sylhet,Sylhet2,24.721885,91.850796,4P,AL,103460,55291,48169,25.35,22
2001,230,Sylhet,Sylhet3,24.766785,91.930447,4P,AL,55994,44342,11652,9.83,20
2001,231,Sylhet,Sylhet4,25.068185,91.902981,4P,AL,62324,47608,14716,10.69,21
2001,232,Sylhet,Sylhet5,25.005973,92.284756,4P,AL,77750,52885,24865,15.71,21
2001,233,Sylhet,Sylhet6,24.826625,92.13644,Others,AL,88182,71517,16665,8.87,40
2001,234,Maulvibazar,Moulvibazar1,24.654506,92.147427,4P,AL,49281,47539,1742,1.68,20
2001,235,Maulvibazar,Moulvibazar2,24.524636,92.065029,Others,AL,81349,71803,9546,5.52,40
2001,236,Maulvibazar,Moulvibazar3,24.47965,91.798611,4P,AL,108513,95319,13194,6.32,20
2001,237,Maulvibazar,Moulvibazar4,24.30455,91.754665,AL,Others,96329,70652,25677,11.74,11
2001,238,Habiganj,Habiganj1,24.492148,91.534939,AL,4P,74693,66137,8556,4.59,10
2001,239,Habiganj,Habiganj2,24.532132,91.350918,AL,4P,50361,50014,347,0.21,10
2001,240,Habiganj,Habiganj3,24.369615,91.38937,AL,4P,83110,69306,13804,7.92,10
2001,241,Habiganj,Habiganj4,24.21691,91.466274,AL,4P,107376,93031,14345,6.04,10
2001,242,Brahmanbaria,Brahmminbaria1,24.16179,91.169844,Others,AL,47254,37163,10091,8.06,40
2001,243,Brahmanbaria,Brahmminbaria2,24.132968,91.083326,4P,AL,99804,56543,43261,24.16,22
2001,244,Brahmanbaria,Brahmminbaria3,24.000054,91.173964,4P,AL,150074,123158,26916,9.60,20
2001,245,Brahmanbaria,Brahmminbaria4,23.836857,91.165724,4P,AL,81229,60340,20889,12.43,21
2001,246,Brahmanbaria,Brahmminbaria5,23.872025,91.014662,4P,AL,102890,60368,42522,24.53,22
2001,247,Brahmanbaria,Brahmminbaria6,23.816757,90.87184,4P,AL,75716,50306,25410,20.08,22
2001,248,Comilla,Comilla1,23.644524,90.809841,4P,AL,73936,34645,39291,35.83,23
2001,249,Comilla,Comilla2,23.536291,90.796108,4P,AL,128680,54651,74029,34.96,23
2001,250,Comilla,Comilla3,23.709924,90.977383,4P,AL,107511,83301,24210,12.16,21
2001,251,Comilla,Comilla4,23.616845,90.996609,4P,AL,92329,58877,33452,21.49,22
2001,252,Comilla,Comilla5,23.609295,91.120205,4P,AL,96828,87276,9552,5.01,20
2001,253,Comilla,Comilla6,23.555544,91.140101,4P,AL,87483,39364,48119,37.67,23
2001,254,Comilla,Comilla7,23.455688,91.186123,4P,AL,89623,58898,30725,20.09,22
2001,255,Comilla,Comilla8,23.443089,90.94717,4P,AL,65447,34399,31048,23.00,22
2001,256,Comilla,Comilla9,23.359907,91.035061,4P,AL,78622,66175,12447,8.50,20
2001,257,Comilla,Comilla10,23.178239,91.087246,4P,AL,107769,70434,37335,20.13,22
2001,258,Comilla,Comilla11,23.264057,91.17239,4P,AL,87898,47176,40722,29.95,22
2001,259,Comilla,Comilla12,23.163089,91.26852,4P,AL,108407,54172,54235,33.03,23
2001,260,Chandpur,Chandpur1,23.38638,90.675459,4P,AL,85507,62537,22970,15.40,21
